stat_id,match_id,player_id,team_id,runs,balls_faced,fours,sixes,wickets,overs,runs_conceded,catches,stumpings,created_at
1,171097,1479191,3571,9,6,0,1,0,0.0,0,0,0,2026-09-02 11:30:45.367
2,171097,22561,3571,38,19,6,2,0,0.0,0,0,0,2026-09-02 11:30:45.380
3,171097,1479197,3571,39,24,2,4,0,0.0,0,0,0,2026-09-02 11:30:45.390
4,171097,1479153,3571,29,27,1,2,0,0.0,0,0,0,2026-09-02 11:30:45.407
5,171097,32856,3571,2,4,0,0,2,4.0,31,0,0,2026-09-02 11:30:45.423
6,171097,1479161,3571,27,20,1,2,0,0.0,0,0,0,2026-09-02 11:30:45.437
7,171097,1479211,3571,1,3,0,0,0,2.0,17,0,0,2026-09-02 11:30:45.450
8,171097,1479177,3571,0,1,0,0,1,3.0,21,0,0,2026-09-02 11:30:45.463
9,171097,1467948,3571,1,5,0,0,2,3.4,36,0,0,2026-09-02 11:30:45.467
10,171097,1479231,3571,12,6,1,1,0,0.0,0,0,0,2026-09-02 11:30:45.467
11,171097,1479221,3571,1,1,0,0,1,3.0,24,0,0,2026-09-02 11:30:45.480
12,171097,11684,3571,0,0,0,0,0,3.0,40,0,0,2026-09-02 11:30:45.483
13,171097,1431875,3591,35,19,3,2,0,2.0,26,0,0,2026-09-02 11:30:45.490
14,171097,1479317,3591,0,0,0,0,0,1.0,17,0,0,2026-09-02 11:30:45.500
15,171097,1479333,3591,0,0,0,0,3,3.0,25,0,0,2026-09-02 11:30:45.503
16,171097,1479307,3591,2,9,0,0,1,3.0,17,0,0,2026-09-02 11:30:45.503
17,171097,36132,3591,3,5,0,0,0,2.0,27,0,0,2026-09-02 11:30:45.503
18,171097,1476493,3591,82,45,8,4,4,4.0,27,0,0,2026-09-02 11:30:45.507
19,171097,1447277,3591,0,2,0,0,2,4.0,25,0,0,2026-09-02 11:30:45.507
20,171097,12452,3591,28,22,4,0,0,0.0,0,0,0,2026-09-02 11:30:45.547
21,171097,1479267,3591,14,6,2,1,0,0.0,0,0,0,2026-09-02 11:30:45.560
22,171097,1479297,3591,0,2,0,0,0,0.0,0,0,0,2026-09-02 11:30:45.560
23,171097,15418,3591,0,3,0,0,0,0.0,0,0,0,2026-09-02 11:30:45.577
24,171097,1447221,3591,0,0,0,0,0,0.0,0,0,0,2026-09-02 11:30:45.633
25,170223,18108,298,46,47,7,1,1,1.0,3,0,0,2026-09-02 11:30:47.490
26,170223,17692,298,30,36,5,0,0,0.0,0,0,0,2026-09-02 11:30:47.513
27,170223,15444,298,84,90,8,1,0,0.0,0,0,0,2026-09-02 11:30:47.513
28,170223,17613,298,53,71,4,0,4,7.3,16,0,0,2026-09-02 11:30:47.517
29,170223,17631,298,12,16,1,0,0,0.0,0,0,0,2026-09-02 11:30:47.520
30,170223,29718,298,3,3,0,0,0,0.0,0,0,0,2026-09-02 11:30:47.540
31,170223,29433,298,0,0,0,0,0,3.0,14,0,0,2026-09-02 11:30:47.540
32,170223,29459,298,0,0,0,0,2,6.0,15,0,0,2026-09-02 11:30:47.543
33,170223,1430018,298,0,0,0,0,3,2.0,4,0,0,2026-09-02 11:30:47.543
34,170223,1479377,298,0,0,0,0,0,3.0,23,0,0,2026-09-02 11:30:47.547
35,170223,15438,298,0,0,0,0,0,5.0,21,0,0,2026-09-02 11:30:47.550
36,170223,1451188,190,6,5,1,0,0,7.0,31,0,0,2026-09-02 11:30:47.550
37,170223,1433321,190,0,1,0,0,2,7.0,32,0,0,2026-09-02 11:30:47.553
38,170223,1452341,190,2,7,0,0,0,5.0,34,0,0,2026-09-02 11:30:47.553
39,170223,1433310,190,7,11,1,0,0,2.0,22,0,0,2026-09-02 11:30:47.557
40,170223,1478811,190,0,7,0,0,1,8.0,56,0,0,2026-09-02 11:30:47.560
41,170223,14013,190,16,17,2,1,0,6.4,33,0,0,2026-09-02 11:30:47.560
42,170223,1450990,190,16,17,2,1,1,8.0,34,0,0,2026-09-02 11:30:47.563
43,170223,1450948,190,1,10,0,0,0,0.0,0,0,0,2026-09-02 11:30:47.580
44,170223,1451179,190,35,56,1,2,0,0.0,0,0,0,2026-09-02 11:30:47.613
45,170223,1478807,190,8,22,0,0,0,0.0,0,0,0,2026-09-02 11:30:47.743
46,170223,1452314,190,2,12,0,0,0,0.0,0,0,0,2026-09-02 11:30:47.750
47,170213,12195,71,15,28,3,0,0,0.0,0,0,0,2026-09-02 11:30:49.617
48,170213,1424104,71,40,40,3,3,0,0.0,0,0,0,2026-09-02 11:30:49.617
49,170213,55753,71,24,35,3,0,0,0.0,0,0,0,2026-09-02 11:30:49.620
50,170213,14006,71,82,98,6,0,0,0.0,0,0,0,2026-09-02 11:30:49.623
51,170213,12163,71,79,87,3,2,1,8.0,37,0,0,2026-09-02 11:30:49.623
52,170213,12108,71,13,9,2,0,1,7.0,41,0,0,2026-09-02 11:30:49.627
53,170213,14004,71,1,3,0,0,0,0.0,0,0,0,2026-09-02 11:30:49.630
54,170213,50468,71,0,1,0,0,0,0.0,0,0,0,2026-09-02 11:30:49.630
55,170213,13242,71,1,1,0,0,5,9.0,34,0,0,2026-09-02 11:30:49.633
56,170213,1469277,71,0,0,0,0,2,5.0,21,0,0,2026-09-02 11:30:49.633
57,170213,1458362,71,0,0,0,0,0,5.0,40,0,0,2026-09-02 11:30:49.637
58,170213,34646,571,4,8,1,0,3,8.0,42,0,0,2026-09-02 11:30:49.640
59,170213,34550,571,0,1,0,0,0,5.0,27,0,0,2026-09-02 11:30:49.640
60,170213,34557,571,16,17,3,0,2,10.0,53,0,0,2026-09-02 11:30:49.643
61,170213,1478847,571,2,12,0,0,0,5.0,35,0,0,2026-09-02 11:30:49.663
62,170213,34562,571,22,50,2,0,0,10.0,43,0,0,2026-09-02 11:30:49.667
63,170213,34639,571,64,29,5,6,3,9.0,47,0,0,2026-09-02 11:30:49.670
64,170213,1479427,571,1,5,0,0,0,3.0,15,0,0,2026-09-02 11:30:49.670
65,170213,17359,571,22,19,4,0,0,0.0,0,0,0,2026-09-02 11:30:49.677
66,170213,1478837,571,1,9,0,0,0,0.0,0,0,0,2026-09-02 11:30:49.680
67,170213,55288,571,18,19,4,0,0,0.0,0,0,0,2026-09-02 11:30:49.680
68,170213,43097,571,17,35,0,1,0,0.0,0,0,0,2026-09-02 11:30:49.700
69,154535,10693,159,0,4,0,0,0,0.0,0,0,0,2026-09-02 11:30:51.657
