series_id,series_name,start_date,end_date,series_type,created_at,updated_at
10548,Ireland Women tour of England 2026,,,,2026-09-01 16:37:21.127,2026-09-01 16:37:21.127
10565,Pakistan tour of England 2026,,,,2026-09-01 16:37:22.500,2026-09-01 16:37:22.500
11408,County Championship Division One 2026,,,,2026-09-01 16:37:24.337,2026-09-01 16:37:24.510
11416,County Championship Division Two 2026,,,,2026-09-01 16:37:24.523,2026-09-01 16:37:24.593
11630,"Bangladesh tour of Australia, 2026",,,,2026-09-01 16:37:22.640,2026-09-01 16:37:22.640
12123,Caribbean Premier League 2026,,,,2026-09-01 16:37:20.880,2026-09-01 16:37:23.190
12376,Duleep Trophy 2026,,,,2026-09-01 16:34:47.057,2026-09-01 16:37:24.093
12620,Tamil Nadu Premier League 2026,,,,2026-09-01 16:37:23.560,2026-09-01 16:37:23.587
12687,India tour of Sri Lanka 2026,,,,2026-09-01 16:37:22.740,2026-09-01 16:37:22.740
12851,Delhi Premier League 2026,,,,2026-09-01 16:37:23.683,2026-09-01 16:37:23.940
12870,European T20 Premier League 2026,,,,2026-09-01 16:37:20.947,2026-09-01 16:37:23.550
12901,Women's Continental Cup 2026,,,,2026-09-01 16:37:24.727,2026-09-01 16:37:24.863
12927,Women's Asia Cup 2026,,,,2026-09-01 16:37:21.073,2026-09-01 16:37:24.690
12933,Namibia T20I Tri-Series 2026,,,,2026-09-01 16:37:20.797,2026-09-01 16:37:22.630
12983,Netherlands Women tour of Scotland 2026,,,,2026-09-01 16:34:47.530,2026-09-01 16:37:25.130
12993,"ACC Men's Premier Cup, 2026",,,,2026-09-01 16:34:47.237,2026-09-01 16:37:24.213
13003,Nordic Women's T20I Cup 2026,,,,2026-09-01 16:37:24.870,2026-09-01 16:37:25.063
13033,"Bangladesh A tour of South Africa, 2026",,,,2026-09-01 16:34:47.430,2026-09-01 16:37:24.247
13073,"Sher-E-Punjab T20 League, 2026",,,,2026-09-01 16:34:46.947,2026-09-01 16:37:23.650
