team_id,team_name,short_name,country,created_at,updated_at
2,India,IND,India,2026-09-01 16:37:22.740,2026-09-03 11:09:05.327
3,Pakistan,PAK,,2026-09-01 16:37:22.503,2026-09-01 16:37:22.503
4,Australia,AUS,Australia,2026-09-01 16:37:22.667,2026-09-03 11:09:05.327
5,Sri Lanka,SL,,2026-09-01 16:37:22.763,2026-09-01 16:37:22.763
6,Bangladesh,BAN,Bangladesh,2026-09-01 16:37:22.663,2026-09-03 11:09:05.327
7,United Arab Emirates,UAE,,2026-09-01 16:37:24.213,2026-09-01 16:37:24.213
8,"Hong Kong, China",HKC,,2026-09-01 16:37:21.020,2026-09-01 16:37:24.210
9,England,ENG,,2026-09-01 16:37:22.500,2026-09-01 16:37:22.500
11,South Africa,RSA,,2026-09-01 16:37:20.803,2026-09-01 16:37:22.623
12,Zimbabwe,ZIM,Zimbabwe,2026-09-01 16:37:20.807,2026-09-03 11:09:05.327
41,Sussex,SUS,,2026-09-01 16:37:24.390,2026-09-01 16:37:24.390
71,Malaysia,MLY,,2026-09-01 16:34:47.260,2026-09-01 16:37:24.137
72,Nepal,NEP,,2026-09-01 16:37:24.147,2026-09-01 16:37:24.147
74,Middlesex,MDX,,2026-09-01 16:37:24.527,2026-09-01 16:37:24.527
97,India Women,INDW,,2026-09-01 16:37:24.663,2026-09-01 16:37:24.663
99,England Women,ENGW,,2026-09-01 16:37:21.143,2026-09-01 16:37:21.143
119,Somerset,SOM,,2026-09-01 16:37:24.387,2026-09-01 16:37:24.387
139,Nottinghamshire,NOTTS,,2026-09-01 16:37:24.360,2026-09-01 16:37:24.360
140,Warwickshire,WARKS,,2026-09-01 16:37:24.360,2026-09-01 16:37:24.360
141,Durham,DUR,,2026-09-01 16:37:24.540,2026-09-01 16:37:24.540
142,Northamptonshire,NHNTS,,2026-09-01 16:37:24.607,2026-09-01 16:37:24.607
143,Lancashire,LANCS,,2026-09-01 16:37:24.580,2026-09-01 16:37:24.580
144,Derbyshire,DERBY,,2026-09-01 16:37:24.527,2026-09-01 16:37:24.527
145,Leicestershire,LEIC,,2026-09-01 16:37:24.413,2026-09-01 16:37:24.413
146,Yorkshire,YORKS,,2026-09-01 16:37:24.413,2026-09-01 16:37:24.413
147,Worcestershire,WORCS,,2026-09-01 16:37:24.580,2026-09-01 16:37:24.580
148,Surrey,SUR,,2026-09-01 16:37:24.510,2026-09-01 16:37:24.510
149,Glamorgan,GLAM,,2026-09-01 16:37:24.477,2026-09-01 16:37:24.477
150,Kent,KENT,,2026-09-01 16:37:24.593,2026-09-01 16:37:24.593
151,Gloucestershire,GLOUCS,,2026-09-01 16:37:24.540,2026-09-01 16:37:24.540
152,Essex,ESS,South Africa,2026-09-01 16:37:24.510,2026-09-03 11:09:05.327
153,Hampshire,HAM,England,2026-09-01 16:37:24.437,2026-09-03 11:09:05.327
159,Guyana Amazon Warriors,GAW,,2026-09-01 16:37:22.920,2026-09-01 16:37:22.920
161,Namibia,NAM,,2026-09-01 16:37:22.620,2026-09-01 16:37:22.633
188,Netherlands Women,NEDW,,2026-09-01 16:34:47.560,2026-09-01 16:37:25.130
189,Ireland Women,IREW,,2026-09-01 16:37:21.143,2026-09-01 16:37:21.143
