venue_id,venue_name,city,country,capacity,created_at,updated_at
11,MA Chidambaram Stadium,Chennai,,,2026-09-01 16:37:23.580,2026-09-01 16:37:23.610
14,Sinhalese Sports Club,Colombo,,,2026-09-01 16:37:22.787,2026-09-01 16:37:22.787
19,Lord's,London,,,2026-09-01 16:37:22.520,2026-09-01 16:37:22.520
20,Edgbaston,Birmingham,,,2026-09-01 16:37:24.380,2026-09-01 16:37:24.380
46,Punjab Cricket Association IS Bindra Stadium,Mohali,,,2026-09-01 16:34:46.997,2026-09-01 16:37:23.653
51,Arun Jaitley Stadium,Delhi,,,2026-09-01 16:37:23.690,2026-09-01 16:37:23.943
54,Queen's Park Oval,"Port of Spain, Trinidad",,,2026-09-01 16:37:22.940,2026-09-01 16:37:23.147
60,Riverside Ground,Chester-le-Street,,,2026-09-01 16:37:24.550,2026-09-01 16:37:24.550
62,Sophia Gardens,Cardiff,,,2026-09-01 16:37:24.500,2026-09-01 16:37:24.500
96,Warner Park,"Basseterre, St Kitts",,,2026-09-01 16:37:20.927,2026-09-01 16:37:23.193
102,Senwes Park,Potchefstroom,,,2026-09-01 16:34:47.480,2026-09-01 16:37:19.540
109,Sir Vivian Richards Stadium,"North Sound, Antigua",,,2026-09-01 16:37:23.057,2026-09-01 16:37:23.057
112,Titwood,Glasgow,,,2026-09-01 16:37:25.140,2026-09-01 16:37:25.140
119,County Ground,Northampton,,,2026-09-01 16:37:24.620,2026-09-01 16:37:24.620
153,Dubai International Cricket Stadium,Dubai,,,2026-09-01 16:37:21.107,2026-09-01 16:37:24.723
220,North Marine Road Ground,Scarborough,,,2026-09-01 16:37:24.430,2026-09-01 16:37:24.430
222,Grace Road,Leicester,,,2026-09-01 16:37:21.193,2026-09-01 16:37:21.193
225,New Road,Worcester,,,2026-09-01 16:37:24.590,2026-09-01 16:37:24.590
226,County Ground,Derby,,,2026-09-01 16:37:24.537,2026-09-01 16:37:24.537
292,County Ground,Hove,,,2026-09-01 16:37:24.407,2026-09-01 16:37:24.407
367,LC de Villiers Oval,Pretoria,,,2026-09-01 16:37:24.267,2026-09-01 16:37:24.267
394,Bayuemas Oval,Kuala Lumpur,,,2026-09-01 16:34:47.300,2026-09-01 16:37:24.217
435,New Williamfield No1 Oval,Stirling,,,2026-09-01 16:34:47.570,2026-09-01 16:37:25.127
439,Great Barrier Reef Arena,Mackay,,,2026-09-01 16:37:22.683,2026-09-01 16:37:22.683
1696,"Moara Vlasiei Cricket Ground, Bucharest",Ilfov County,,,2026-09-01 16:37:24.737,2026-09-01 16:37:24.863
1853,YSD-UKM Cricket Oval,Bangi,,,2026-09-01 16:34:47.390,2026-09-01 16:37:24.210
1437730,GelsenTrabPark,Gelsenkirchen,,,2026-09-01 16:37:24.887,2026-09-01 16:37:25.063
1437791,Sportpark Duivesteijn,Voorburg,,,2026-09-01 16:37:20.963,2026-09-01 16:37:23.553
1438021,Namibia Cricket Ground, Windhoek,,,2026-09-01 16:37:20.827,2026-09-01 16:37:22.633
1438087,BCCI Centre of Excellence Ground 1,Bengaluru,,,2026-09-01 16:34:47.103,2026-09-01 16:37:24.097
1438102,BCCI Centre of Excellence Ground 2,Bengaluru,,,2026-09-01 16:34:47.170,2026-09-01 16:37:24.053
1438338,The Ambassador Cruise Line Ground,Chelmsford,,,2026-09-01 16:37:24.520,2026-09-01 16:37:24.520
